id,company_name,ticker,sector_group,industry_group,rating_seed,rating_source,index_memberships
25,Alnylam Pharmaceuticals,ALNY,Industrials,,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,Nasdaq 100
26,Applied Materials,AMAT,Industrials,,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,Nasdaq 100; S&P 500
27,Amcor,AMCR,Materials,Paper & Plastic Packaging Products & Materials,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
28,Advanced Micro Devices,AMD,Industrials,,BBB / A bucket,demo_bucket_to_refresh,Nasdaq 100; S&P 500
29,Ametek,AME,Industrials,Electrical Components & Equipment,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
30,Amgen,AMGN,Healthcare,,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,Dow; Nasdaq 100; S&P 500
31,Ameriprise Financial,AMP,Financials,Asset Management & Custody Banks,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
32,American Tower,AMT,Real Estate,Telecom Tower REITs,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
33,Amazon,AMZN,Consumer Discretionary,,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,Dow; Nasdaq 100; S&P 500
34,Arista Networks,ANET,Technology,Communications Equipment,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
35,Aon plc,AON,Financials,Insurance Brokers,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
36,A. O. Smith,AOS,Industrials,Building Products,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
37,APA Corporation,APA,Energy,Oil & Gas Exploration & Production,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
38,Air Products,APD,Materials,Industrial Gases,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
39,Amphenol,APH,Technology,Electronic Components,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
40,Apollo Global Management,APO,Financials,Asset Management & Custody Banks,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
41,AppLovin,APP,Industrials,,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,Nasdaq 100; S&P 500
42,Aptiv,APTV,Autos,Automotive Parts & Equipment,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
43,Alexandria Real Estate Equities,ARE,Real Estate,Office REITs,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
44,Ares Management,ARES,Financials,Asset Management & Custody Banks,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
45,Arm Holdings,ARM,Industrials,,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,Nasdaq 100
46,ASML Holding,ASML,Industrials,,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,Nasdaq 100
47,Atmos Energy,ATO,Utilities,Gas Utilities,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
48,AvalonBay Communities,AVB,Real Estate,Multi-Family Residential REITs,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
49,Broadcom,AVGO,Industrials,,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,Nasdaq 100; S&P 500
50,Avery Dennison,AVY,Materials,Paper & Plastic Packaging Products & Materials,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
51,American Water Works,AWK,Utilities,Water Utilities,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
52,Axon Enterprise,AXON,Industrials,,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,Nasdaq 100; S&P 500
53,American Express,AXP,Financials,,A shown,screenshot,Dow; S&P 500
54,AutoZone,AZO,Autos,Automotive Retail,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
55,Boeing,BA,Industrials,,BBB / BB bucket,demo_bucket_to_refresh,Dow; S&P 500
56,Bank of America,BAC,Financials,Diversified Banks,A / A- bucket,demo_bucket_to_refresh,S&P 500
57,Ball Corporation,BALL,Materials,"Metal, Glass & Plastic Containers",NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
58,Baxter International,BAX,Healthcare,Health Care Equipment,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
59,Best Buy,BBY,Consumer Discretionary,Computer & Electronics Retail,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
60,Becton Dickinson,BDX,Healthcare,Health Care Equipment,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
61,Franklin Resources,BEN,Financials,Asset Management & Custody Banks,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
62,Brown–Forman,BF-B,Consumer Staples,Distillers & Vintners,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
63,Bunge Global,BG,Consumer Staples,Agricultural Products & Services,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
64,Biogen,BIIB,Healthcare,Biotechnology,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
65,BNY Mellon,BK,Financials,Asset Management & Custody Banks,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
66,Booking Holdings,BKNG,Industrials,,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,Nasdaq 100; S&P 500
67,Baker Hughes,BKR,Industrials,,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,Nasdaq 100; S&P 500
68,Builders FirstSource,BLDR,Industrials,Building Products,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
69,BlackRock,BLK,Financials,Asset Management & Custody Banks,AA / A bucket,demo_bucket_to_refresh,S&P 500
70,Bristol Myers Squibb,BMY,Healthcare,Pharmaceuticals,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
71,Broadridge Financial Solutions,BR,Industrials,Data Processing & Outsourced Services,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
72,Berkshire Hathaway,BRK-B,Financials,Multi-Sector Holdings,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
73,Brown & Brown,BRO,Financials,Insurance Brokers,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
74,Boston Scientific,BSX,Healthcare,Health Care Equipment,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
75,Blackstone Inc.,BX,Financials,Asset Management & Custody Banks,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
76,"BXP, Inc.",BXP,Real Estate,Office REITs,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
77,Citigroup,C,Financials,Diversified Banks,BBB+ / A- bucket,demo_bucket_to_refresh,S&P 500
78,Conagra Brands,CAG,Consumer Staples,Packaged Foods & Meats,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
79,Cardinal Health,CAH,Healthcare,Health Care Distributors,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
80,Carrier Global,CARR,Industrials,Building Products,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
81,Casey's,CASY,Consumer Staples,Food Retail,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
82,Caterpillar,CAT,Industrials,,A bucket,demo_bucket_to_refresh,Dow; S&P 500
83,Chubb Limited,CB,Financials,Property & Casualty Insurance,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
84,Cboe Global Markets,CBOE,Financials,Financial Exchanges & Data,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
85,CBRE Group,CBRE,Real Estate,Real Estate Services,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
86,Coca-Cola Europacific Partners,CCEP,Industrials,,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,Nasdaq 100
87,Crown Castle,CCI,Real Estate,Telecom Tower REITs,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
88,Carnival Corporation,CCL,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
89,Cadence Design Systems,CDNS,Industrials,,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,Nasdaq 100; S&P 500
90,CDW Corporation,CDW,Technology,Technology Distributors,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
91,Constellation Energy,CEG,Industrials,,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,Nasdaq 100; S&P 500
92,CF Industries,CF,Materials,Fertilizers & Agricultural Chemicals,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
93,Citizens Financial Group,CFG,Financials,Regional Banks,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
94,Church & Dwight,CHD,Consumer Staples,Household Products,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
95,C.H. Robinson,CHRW,Transportation,Air Freight & Logistics,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
96,Charter Communications,CHTR,Industrials,,BBB- shown,screenshot,Nasdaq 100; S&P 500
97,Cigna,CI,Healthcare,Health Care Services,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
98,Ciena,CIEN,Technology,Communications Equipment,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
99,Cincinnati Financial,CINF,Financials,Property & Casualty Insurance,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
100,Colgate-Palmolive,CL,Consumer Staples,Household Products,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
101,Clorox,CLX,Consumer Staples,Household Products,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
102,Comcast,CMCSA,Industrials,,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,Nasdaq 100; S&P 500
103,CME Group,CME,Financials,Financial Exchanges & Data,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
104,Chipotle Mexican Grill,CMG,Consumer Discretionary,Restaurants,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
105,Cummins,CMI,Industrials,Construction Machinery & Heavy Transportation Equipment,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
106,CMS Energy,CMS,Utilities,Multi-Utilities,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
107,Centene Corporation,CNC,Healthcare,Managed Health Care,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
108,CenterPoint Energy,CNP,Utilities,Multi-Utilities,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
109,Capital One,COF,Financials,Consumer Finance,BBB / BB bucket,demo_bucket_to_refresh,S&P 500
110,Coherent Corp.,COHR,Technology,Electronic Components,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
111,Coinbase,COIN,Financials,Financial Exchanges & Data,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
112,Cooper Companies (The),COO,Healthcare,Health Care Supplies,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
113,ConocoPhillips,COP,Energy,Oil & Gas Exploration & Production,A bucket,demo_bucket_to_refresh,S&P 500
114,Cencora,COR,Healthcare,Health Care Distributors,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
115,Costco,COST,Industrials,,A / AA bucket,demo_bucket_to_refresh,Nasdaq 100; S&P 500
116,Corpay,CPAY,Financials,Transaction & Payment Processing Services,BB+ shown,screenshot,S&P 500
117,Campbell's Company (The),CPB,Consumer Staples,Packaged Foods & Meats,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
118,Copart,CPRT,Industrials,,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,Nasdaq 100; S&P 500
119,Camden Property Trust,CPT,Real Estate,Multi-Family Residential REITs,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
120,CRH plc,CRH,Materials,Construction Materials,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
121,Charles River Laboratories,CRL,Healthcare,Life Sciences Tools & Services,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
122,Salesforce,CRM,Technology,,A- shown,screenshot,Dow; S&P 500
123,CrowdStrike,CRWD,Industrials,,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,Nasdaq 100; S&P 500
124,Cisco,CSCO,Technology,,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,Dow; Nasdaq 100; S&P 500
125,CoStar Group,CSGP,Industrials,,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,Nasdaq 100; S&P 500
126,CSX Corporation,CSX,Industrials,,BBB+ / A- bucket,demo_bucket_to_refresh,Nasdaq 100; S&P 500
127,Cintas,CTAS,Industrials,,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,Nasdaq 100; S&P 500
128,Cognizant,CTSH,Industrials,,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,Nasdaq 100; S&P 500
129,Corteva,CTVA,Materials,Fertilizers & Agricultural Chemicals,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
130,Carvana,CVNA,Autos,Automotive Retail,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
131,CVS Health,CVS,Healthcare,Health Care Services,BBB bucket,demo_bucket_to_refresh,S&P 500
132,Chevron,CVX,Energy,,AA- shown,screenshot,Dow; S&P 500
133,Dominion Energy,D,Utilities,Multi-Utilities,BBB bucket,demo_bucket_to_refresh,S&P 500
134,Delta Air Lines,DAL,Transportation,Passenger Airlines,BB / BBB bucket,demo_bucket_to_refresh,S&P 500
135,DoorDash,DASH,Industrials,,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,Nasdaq 100; S&P 500
136,DuPont,DD,Materials,Specialty Chemicals,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
137,Datadog,DDOG,Industrials,,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,Nasdaq 100; S&P 500
138,Deere & Company,DE,Industrials,Agricultural & Farm Machinery,A bucket,demo_bucket_to_refresh,S&P 500
139,Deckers Brands,DECK,Consumer Discretionary,Footwear,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
140,Dell Technologies,DELL,Technology,"Technology Hardware, Storage & Peripherals",BBB bucket,demo_bucket_to_refresh,S&P 500
141,Dollar General,DG,Consumer Staples,Consumer Staples Merchandise Retail,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
142,Quest Diagnostics,DGX,Healthcare,Health Care Services,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
143,D. R. Horton,DHI,Consumer Discretionary,Homebuilding,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
144,Danaher Corporation,DHR,Healthcare,Life Sciences Tools & Services,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
145,Disney,DIS,Communication Services,,A / BBB bucket,demo_bucket_to_refresh,Dow; S&P 500
146,Digital Realty,DLR,Real Estate,Data Center REITs,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
147,Dollar Tree,DLTR,Consumer Staples,Consumer Staples Merchandise Retail,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
148,Healthpeak Properties,DOC,Real Estate,Health Care REITs,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
149,Dover Corporation,DOV,Industrials,Industrial Machinery & Supplies & Components,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
150,Dow Inc.,DOW,Materials,Commodity Chemicals,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
151,Domino's,DPZ,Consumer Discretionary,Restaurants,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
152,Darden Restaurants,DRI,Consumer Discretionary,Restaurants,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
153,DTE Energy,DTE,Utilities,Multi-Utilities,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
154,Duke Energy,DUK,Utilities,Electric Utilities,BBB+ bucket,demo_bucket_to_refresh,S&P 500
155,DaVita,DVA,Healthcare,Health Care Services,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
156,Devon Energy,DVN,Energy,Oil & Gas Exploration & Production,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
157,DexCom,DXCM,Industrials,,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,Nasdaq 100; S&P 500
158,Electronic Arts,EA,Industrials,,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,Nasdaq 100; S&P 500
159,eBay Inc.,EBAY,Consumer Discretionary,Broadline Retail,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
160,Ecolab,ECL,Materials,Specialty Chemicals,A- shown,screenshot,S&P 500
161,Consolidated Edison,ED,Utilities,Multi-Utilities,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
162,Equifax,EFX,Industrials,Research & Consulting Services,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
163,Everest Group,EG,Financials,Reinsurance,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
164,Edison International,EIX,Utilities,Electric Utilities,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
165,Estée Lauder Companies (The),EL,Consumer Staples,Personal Care Products,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
166,Elevance Health,ELV,Healthcare,Managed Health Care,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
167,Emcor,EME,Industrials,Construction & Engineering,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
168,Emerson Electric,EMR,Industrials,Electrical Components & Equipment,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
169,EOG Resources,EOG,Energy,Oil & Gas Exploration & Production,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
170,EPAM Systems,EPAM,Technology,IT Consulting & Other Services,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
171,Equinix,EQIX,Real Estate,Data Center REITs,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
172,Equity Residential,EQR,Real Estate,Multi-Family Residential REITs,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
173,EQT Corporation,EQT,Energy,Oil & Gas Exploration & Production,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
174,Erie Indemnity,ERIE,Financials,Insurance Brokers,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
175,Eversource Energy,ES,Utilities,Electric Utilities,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
176,Essex Property Trust,ESS,Real Estate,Multi-Family Residential REITs,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
177,Eaton Corporation,ETN,Industrials,Electrical Components & Equipment,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
178,Entergy,ETR,Utilities,Electric Utilities,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
179,Evergy,EVRG,Utilities,Electric Utilities,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
180,Edwards Lifesciences,EW,Healthcare,Health Care Equipment,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
181,Exelon,EXC,Industrials,,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,Nasdaq 100; S&P 500
182,Expand Energy,EXE,Energy,Oil & Gas Exploration & Production,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
183,Expeditors International,EXPD,Transportation,Air Freight & Logistics,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
184,Expedia Group,EXPE,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
185,Extra Space Storage,EXR,Real Estate,Self-Storage REITs,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
186,Ford Motor Company,F,Autos,Automobile Manufacturers,BB+ shown,screenshot,S&P 500
187,Diamondback Energy,FANG,Industrials,,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,Nasdaq 100; S&P 500
188,Fastenal,FAST,Industrials,,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,Nasdaq 100; S&P 500
189,Freeport-McMoRan,FCX,Materials,Copper,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
190,FactSet,FDS,Financials,Financial Exchanges & Data,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
191,FedEx,FDX,Transportation,Air Freight & Logistics,BBB bucket,demo_bucket_to_refresh,S&P 500
192,FirstEnergy,FE,Utilities,Electric Utilities,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
193,Ferrovial,FER,Industrials,,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,Nasdaq 100
194,"F5, Inc.",FFIV,Technology,Communications Equipment,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
195,Fair Isaac,FICO,Technology,Application Software,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
196,Fidelity National Information Services,FIS,Financials,Transaction & Payment Processing Services,BBB area / verify,screenshot_unclear,S&P 500
197,Fiserv,FISV,Financials,Transaction & Payment Processing Services,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
198,Fifth Third Bancorp,FITB,Financials,Regional Banks,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
199,Comfort Systems USA,FIX,Industrials,Construction & Engineering,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
200,Fox Corporation (Class B),FOX,Communication Services,Broadcasting,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
201,Fox Corporation (Class A),FOXA,Communication Services,Broadcasting,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
202,Federal Realty Investment Trust,FRT,Real Estate,Retail REITs,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
203,First Solar,FSLR,Technology,Semiconductors,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
204,Fortinet,FTNT,Industrials,,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,Nasdaq 100; S&P 500
205,Fortive,FTV,Industrials,Industrial Machinery & Supplies & Components,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
206,General Dynamics,GD,Aerospace & Defense,Aerospace & Defense,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
